獎金周期,獎金周期,消費對等,經營分紅,安置獎金,推薦獎金,消費分紅,經營對等,收件中心,新增加權,小計,其他加項,其他減項,稅額,補充費,總計,紅利積分,電子錢包,獎金暫存,註冊分,商品券,星級,左區人數,右區人數
2025-06-04,2025-06-04,1.79,9.10,0.00,0.00,0.89,0.00,0.00,0.00,11.78,0.00,11.78,0.00,0.00,0.00,3712.63,140.69,354.11,0.00,0.00,白一星,10,10
2025-06-03,2025-06-03,1.79,9.07,0.00,0.00,0.89,0.00,0.00,0.00,11.75,0.00,11.75,0.00,0.00,0.00,,,,,,,,
2025-06-02,2025-06-02,1.79,9.06,0.00,0.00,0.89,0.00,0.00,0.00,11.74,0.00,11.74,0.00,0.00,0.00,,,,,,,,
2025-06-01,2025-06-01,1.79,9.06,0.00,0.00,0.89,0.00,0.00,0.00,11.74,0.00,11.74,0.00,0.00,0.00,,,,,,,,
2025-05-31,2025-05-31,1.79,9.01,0.00,0.00,0.89,0.00,0.00,0.00,11.69,0.00,11.69,0.00,0.00,0.00,,,,,,,,
2025-05-30,2025-05-30,1.79,9.02,0.00,0.00,0.89,0.00,0.00,0.00,11.70,0.00,11.70,0.00,0.00,0.00,,,,,,,,
2025-05-29,2025-05-29,1.79,9.01,0.00,0.00,0.89,0.00,0.00,0.00,11.69,0.00,11.69,0.00,0.00,0.00,,,,,,,,
2025-05-28,2025-05-28,1.78,8.99,0.00,0.00,0.89,0.00,0.00,0.00,11.66,0.00,11.66,0.00,0.00,0.00,,,,,,,,
2025-05-27,2025-05-27,1.78,8.94,0.00,0.00,0.89,0.00,0.00,0.00,11.61,0.00,11.61,0.00,0.00,0.00,,,,,,,,
2025-05-26,2025-05-26,1.80,9.02,0.00,0.00,0.90,0.00,0.00,0.00,11.72,0.00,11.72,0.00,0.00,0.00,,,,,,,,
2025-05-25,2025-05-25,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-24,2025-05-24,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-23,2025-05-23,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
