獎金周期,獎金周期,消費對等,經營分紅,安置獎金,推薦獎金,消費分紅,經營對等,收件中心,新增加權,小計,其他加項,其他減項,稅額,補充費,總計,紅利積分,電子錢包,獎金暫存,註冊分,商品券,星級,左區人數,右區人數
2025-06-04,2025-06-04,3.66,9.10,0.00,0.00,0.89,1.27,0.00,0.00,14.92,0.00,14.92,0.00,0.00,0.00,507.38,20.80,557.10,0.00,0.00,金一星,34,10
2025-06-03,2025-06-03,3.67,9.07,0.00,0.00,0.89,1.27,0.00,0.00,14.90,0.00,14.90,0.00,0.00,0.00,,,,,,,,
2025-06-02,2025-06-02,3.67,9.06,0.00,0.00,0.89,1.27,0.00,0.00,14.89,0.00,14.89,0.00,0.00,0.00,,,,,,,,
2025-06-01,2025-06-01,3.66,9.06,0.00,0.00,0.89,1.27,0.00,0.00,14.88,0.00,14.88,0.00,0.00,0.00,,,,,,,,
2025-05-31,2025-05-31,3.66,9.01,0.00,0.00,0.89,1.26,0.00,0.00,14.82,0.00,14.82,0.00,0.00,0.00,,,,,,,,
2025-05-30,2025-05-30,3.67,9.02,0.00,0.00,0.89,1.26,0.00,0.00,14.84,0.00,14.84,0.00,0.00,0.00,,,,,,,,
2025-05-29,2025-05-29,3.66,9.01,0.00,0.00,0.89,1.26,0.00,0.00,14.82,0.00,14.82,0.00,0.00,0.00,,,,,,,,
2025-05-28,2025-05-28,3.65,8.99,0.00,0.00,0.89,1.26,0.00,0.00,14.79,0.00,14.79,0.00,0.00,0.00,,,,,,,,
2025-05-27,2025-05-27,3.65,8.94,0.00,0.00,0.89,1.25,0.00,0.00,14.73,0.00,14.73,0.00,0.00,0.00,,,,,,,,
2025-05-26,2025-05-26,3.68,9.02,0.00,0.00,0.90,1.26,0.00,0.00,14.86,0.00,14.86,0.00,0.00,0.00,,,,,,,,
2025-05-25,2025-05-25,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-24,2025-05-24,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-23,2025-05-23,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-22,2025-05-22,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-21,2025-05-21,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,,,,,,,,
2025-05-20,2025-05-20,3.77,12.90,0.00,0.00,0.92,2.58,0.00,0.00,20.17,0.00,20.17,0.00,0.00,0.00,,,,,,,,
2025-05-19,2025-05-19,3.78,12.95,0.00,0.00,0.92,2.59,0.00,0.00,20.24,0.00,20.24,0.00,0.00,0.00,,,,,,,,
2025-05-18,2025-05-18,3.78,12.90,0.00,0.00,0.92,2.58,0.00,0.00,20.18,0.00,20.18,0.00,0.00,0.00,,,,,,,,
2025-05-17,2025-05-17,3.79,12.91,0.00,0.00,0.92,2.58,0.00,0.00,20.20,0.00,20.20,0.00,0.00,0.00,,,,,,,,
2025-05-16,2025-05-16,3.70,12.61,4.00,24.00,0.90,2.52,0.00,0.00,47.73,0.00,47.73,0.00,0.00,0.00,,,,,,,,
2025-05-15,2025-05-15,3.66,12.46,0.00,0.00,0.89,2.49,0.00,0.00,19.50,0.00,19.50,0.00,0.00,0.00,,,,,,,,
2025-05-14,2025-05-14,3.75,12.75,0.00,0.00,0.91,2.55,0.00,0.00,19.96,0.00,19.96,0.00,0.00,0.00,,,,,,,,
2025-05-13,2025-05-13,3.73,12.69,0.00,0.00,0.91,2.54,0.00,0.00,19.87,0.00,19.87,0.00,0.00,0.00,,,,,,,,
2025-05-12,2025-05-12,3.74,12.75,0.00,0.00,0.91,2.55,0.00,0.00,19.95,0.00,19.95,0.00,0.00,0.00,,,,,,,,
2025-05-11,2025-05-11,3.74,12.79,0.00,0.00,0.91,2.56,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,,,,,,,,
2025-05-10,2025-05-10,3.74,12.75,24.00,0.00,0.91,2.55,0.00,0.00,43.95,0.00,43.95,0.00,0.00,0.00,,,,,,,,
2025-05-09,2025-05-09,2.83,12.77,4.00,80.00,0.91,1.28,0.00,0.00,101.79,0.00,101.79,0.00,0.00,0.00,,,,,,,,
2025-05-08,2025-05-08,2.82,12.74,6.00,0.00,0.91,1.27,0.00,0.00,23.74,0.00,23.74,0.00,0.00,0.00,,,,,,,,
2025-05-07,2025-05-07,2.55,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.46,0.00,3.46,0.00,0.00,0.00,,,,,,,,
2025-05-06,2025-05-06,2.55,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.46,0.00,3.46,0.00,0.00,0.00,,,,,,,,
2025-05-05,2025-05-05,2.55,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.46,0.00,3.46,0.00,0.00,0.00,,,,,,,,
2025-05-04,2025-05-04,2.56,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.47,0.00,3.47,0.00,0.00,0.00,,,,,,,,
2025-05-03,2025-05-03,2.56,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.47,0.00,3.47,0.00,0.00,0.00,,,,,,,,
2025-05-02,2025-05-02,2.56,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.47,0.00,3.47,0.00,0.00,0.00,,,,,,,,
2025-05-01,2025-05-01,2.55,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.46,0.00,3.46,0.00,0.00,0.00,,,,,,,,
2025-04-30,2025-04-30,2.56,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.47,0.00,3.47,0.00,0.00,0.00,,,,,,,,
2025-04-29,2025-04-29,2.56,0.00,0.00,0.00,0.91,0.00,0.00,0.00,3.47,0.00,3.47,0.00,0.00,0.00,,,,,,,,
2025-04-28,2025-04-28,2.55,0.00,6.00,0.00,0.91,0.00,0.00,0.00,9.46,0.00,9.46,0.00,0.00,0.00,,,,,,,,
2025-04-27,2025-04-27,2.28,0.00,8.00,52.00,0.91,0.00,0.00,0.00,63.19,0.00,63.19,0.00,0.00,0.00,,,,,,,,
2025-04-26,2025-04-26,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-25,2025-04-25,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-24,2025-04-24,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-23,2025-04-23,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-22,2025-04-22,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-21,2025-04-21,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-20,2025-04-20,1.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.83,0.00,2.83,0.00,0.00,0.00,,,,,,,,
2025-04-19,2025-04-19,1.92,0.00,4.00,24.00,0.91,0.00,0.00,0.00,30.83,0.00,30.83,0.00,0.00,0.00,,,,,,,,
2025-04-18,2025-04-18,1.92,0.00,6.00,0.00,0.91,0.00,0.00,0.00,8.83,0.00,8.83,0.00,0.00,0.00,,,,,,,,
2025-04-17,2025-04-17,1.65,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,,,,,,,,
2025-04-16,2025-04-16,1.65,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,,,,,,,,
2025-04-15,2025-04-15,1.65,0.00,0.00,0.00,0.91,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,,,,,,,,
2025-04-14,2025-04-14,1.64,0.00,8.00,64.00,0.91,0.00,0.00,0.00,74.55,0.00,74.55,0.00,0.00,0.00,,,,,,,,
